momset,momnum,naics,region,gravity,davgrid,dav,orderedvio,laginv,violation,modelmoment1
1,5074,21,8,1,2,1,1,1,0,2.829e-10
1,5094,21,8,1,2,1,1,1,1,2.684e-10
1,5114,21,8,1,2,1,2,1,0,2.684e-10
1,5134,21,8,1,2,1,2,1,1,2.682e-10
1,5155,21,8,2,2,1,1,0,0,6.788e-08
1,5175,21,8,2,2,1,1,0,1,1.110e-09
1,5195,21,8,2,2,1,2,0,0,.14914
1,5215,21,8,2,2,1,2,0,1,.0123014
1,5235,21,8,2,2,1,1,1,0,1.281e-10
1,5255,21,8,2,2,1,1,1,1,1.168e-10
1,5275,21,8,2,2,1,2,1,0,1.175e-10
1,5295,21,8,2,2,1,2,1,1,1.183e-10
1,5316,21,8,3,2,1,1,0,0,6.962e-08
1,5336,21,8,3,2,1,1,0,1,1.519e-09
1,5356,21,8,3,2,1,2,0,0,.149959
1,5376,21,8,3,2,1,2,0,1,.0150231
1,5396,21,8,3,2,1,1,1,0,9.547e-11
1,5416,21,8,3,2,1,1,1,1,9.112e-11
1,5436,21,8,3,2,1,2,1,0,9.105e-11
1,5456,21,8,3,2,1,2,1,1,9.099e-11
1,5477,21,8,4,2,1,1,0,0,-1.295e-07
1,5497,21,8,4,2,1,1,0,1,-3.320e-09
1,5517,21,8,4,2,1,2,0,0,.150349
1,5537,21,8,4,2,1,2,0,1,.0130251
1,5557,21,8,4,2,1,1,1,0,-2.941e-10
1,5577,21,8,4,2,1,1,1,1,-2.825e-10
1,5597,21,8,4,2,1,2,1,0,-2.828e-10
1,5617,21,8,4,2,1,2,1,1,-2.824e-10
1,5638,21,8,5,2,1,1,0,0,-7.060e-08
1,5658,21,8,5,2,1,1,0,1,-1.924e-09
1,5678,21,8,5,2,1,2,0,0,.149442
1,5698,21,8,5,2,1,2,0,1,.0148946
1,5718,21,8,5,2,1,1,1,0,-2.986e-10
1,5738,21,8,5,2,1,1,1,1,-2.942e-10
1,5758,21,8,5,2,1,2,1,0,-2.938e-10
1,5778,21,8,5,2,1,2,1,1,-2.939e-10
1,5799,21,9,1,2,1,1,0,0,3.126e-06
1,5819,21,9,1,2,1,1,0,1,4.085e-08
1,5839,21,9,1,2,1,2,0,0,.0672919
1,5859,21,9,1,2,1,2,0,1,.00993644
1,5879,21,9,1,2,1,1,1,0,-3.280e-12
1,5899,21,9,1,2,1,1,1,1,-4.333e-12
1,5919,21,9,1,2,1,2,1,0,-4.249e-12
1,5939,21,9,1,2,1,2,1,1,-4.302e-12
1,5960,21,9,2,2,1,1,0,0,1.416e-07
1,5980,21,9,2,2,1,1,0,1,1.936e-09
1,6000,21,9,2,2,1,2,0,0,.127502
1,6020,21,9,2,2,1,2,0,1,.0154753
1,6040,21,9,2,2,1,1,1,0,-9.649e-11
1,6060,21,9,2,2,1,1,1,1,-9.654e-11
1,6080,21,9,2,2,1,2,1,0,-9.653e-11
1,6100,21,9,2,2,1,2,1,1,-9.655e-11
1,6121,21,9,3,2,1,1,0,0,2.549e-06
1,6141,21,9,3,2,1,1,0,1,3.374e-08
1,6161,21,9,3,2,1,2,0,0,.0747179
1,6181,21,9,3,2,1,2,0,1,.0108965
1,6201,21,9,3,2,1,1,1,0,2.359e-11
1,6221,21,9,3,2,1,1,1,1,2.322e-11
1,6241,21,9,3,2,1,2,1,0,2.326e-11
1,6261,21,9,3,2,1,2,1,1,2.322e-11
1,6282,21,9,4,2,1,1,0,0,4.819e-07
1,6302,21,9,4,2,1,1,0,1,7.595e-09
1,6322,21,9,4,2,1,2,0,0,.113298
1,6342,21,9,4,2,1,2,0,1,.0143968
1,6362,21,9,4,2,1,1,1,0,-1.878e-11
1,6382,21,9,4,2,1,1,1,1,-1.886e-11
1,6402,21,9,4,2,1,2,1,0,-1.888e-11
1,6422,21,9,4,2,1,2,1,1,-1.885e-11
1,6443,21,9,5,2,1,1,0,0,3.556e-06
1,6463,21,9,5,2,1,1,0,1,5.240e-08
1,6483,21,9,5,2,1,2,0,0,.0719375
1,6503,21,9,5,2,1,2,0,1,.0104392
1,6523,21,9,5,2,1,1,1,0,-1.557e-10
1,6543,21,9,5,2,1,1,1,1,-1.567e-10
1,6563,21,9,5,2,1,2,1,0,-1.566e-10
1,6583,21,9,5,2,1,2,1,1,-1.566e-10
1,6604,21,10,1,2,1,1,0,0,1.730e-06
1,6624,21,10,1,2,1,1,0,1,9.767e-08
1,6644,21,10,1,2,1,2,0,0,.0697796
1,6664,21,10,1,2,1,2,0,1,.0101849
1,6684,21,10,1,2,1,1,1,0,3.607e-10
1,6704,21,10,1,2,1,1,1,1,3.577e-10
1,6724,21,10,1,2,1,2,1,0,3.573e-10
1,6744,21,10,1,2,1,2,1,1,3.574e-10
1,6765,21,10,2,2,1,1,0,0,9.574e-08
1,6785,21,10,2,2,1,1,0,1,4.836e-09
1,6805,21,10,2,2,1,2,0,0,.129068
1,6825,21,10,2,2,1,2,0,1,.0154772
1,6845,21,10,2,2,1,1,1,0,2.432e-10
1,6865,21,10,2,2,1,1,1,1,2.414e-10
1,6885,21,10,2,2,1,2,1,0,2.416e-10
1,6905,21,10,2,2,1,2,1,1,2.415e-10
1,6926,21,10,4,2,1,1,0,0,2.921e-07
1,6946,21,10,4,2,1,1,0,1,1.924e-08
1,6966,21,10,4,2,1,2,0,0,.115635
1,6986,21,10,4,2,1,2,0,1,.0145229
1,7006,21,10,4,2,1,1,1,0,2.765e-10
1,7026,21,10,4,2,1,1,1,1,2.763e-10
1,7046,21,10,4,2,1,2,1,0,2.763e-10
1,7066,21,10,4,2,1,2,1,1,2.763e-10
1,7087,21,10,5,2,1,1,0,0,1.773e-06
1,7107,21,10,5,2,1,1,0,1,1.125e-07
1,7127,21,10,5,2,1,2,0,0,.0745764
1,7147,21,10,5,2,1,2,0,1,.0106983
1,7167,21,10,5,2,1,1,1,0,-2.070e-10
1,7187,21,10,5,2,1,1,1,1,-2.084e-10
1,7207,21,10,5,2,1,2,1,0,-2.088e-10
1,7227,21,10,5,2,1,2,1,1,-2.088e-10
2,2,21,1,1,2,1,1,0,0,-9.668e-13
2,22,21,1,1,2,1,1,0,1,-1.138e-14
2,42,21,1,1,2,1,2,0,0,1.563e-48
2,62,21,1,1,2,1,2,0,1,5.035e-45
2,82,21,1,1,2,1,1,1,0,-8.029e-16
2,102,21,1,1,2,1,1,1,1,-8.059e-17
2,122,21,1,1,2,1,2,1,0,-8.377e-50
2,142,21,1,1,2,1,2,1,1,-3.729e-45
2,162,21,1,4,2,1,1,0,0,-4.892e-12
2,182,21,1,4,2,1,1,0,1,-5.748e-14
2,202,21,1,4,2,1,2,0,0,2.084e-49
2,222,21,1,4,2,1,2,0,1,5.726e-46
2,242,21,1,4,2,1,1,1,0,-1.507e-15
2,262,21,1,4,2,1,1,1,1,-1.249e-16
2,282,21,1,4,2,1,2,1,0,-2.864e-50
2,302,21,1,4,2,1,2,1,1,-1.379e-45
2,322,21,1,5,2,1,1,0,0,1.079e-12
2,342,21,1,5,2,1,1,0,1,1.116e-14
2,362,21,1,5,2,1,2,0,0,1.275e-48
2,382,21,1,5,2,1,2,0,1,9.609e-45
2,402,21,1,5,2,1,1,1,0,-2.297e-17
2,422,21,1,5,2,1,1,1,1,-2.233e-18
2,442,21,1,5,2,1,2,1,0,-4.914e-51
2,462,21,1,5,2,1,2,1,1,-6.135e-46
2,482,21,2,1,2,1,1,0,0,2.508e-10
2,502,21,2,1,2,1,1,0,1,5.562e-12
2,522,21,2,1,2,1,2,0,0,2.158e-44
2,542,21,2,1,2,1,2,0,1,4.931e-41
2,562,21,2,1,2,1,1,1,0,6.166e-14
2,582,21,2,1,2,1,1,1,1,2.256e-14
2,602,21,2,1,2,1,2,1,0,1.398e-45
2,622,21,2,1,2,1,2,1,1,6.424e-41
2,642,21,2,4,2,1,1,0,0,6.311e-11
2,662,21,2,4,2,1,1,0,1,1.508e-12
2,682,21,2,4,2,1,2,0,0,9.294e-48
2,702,21,2,4,2,1,2,0,1,8.251e-45
2,722,21,2,4,2,1,1,1,0,4.620e-14
2,742,21,2,4,2,1,1,1,1,1.871e-14
2,762,21,2,4,2,1,2,1,0,1.562e-48
2,782,21,2,4,2,1,2,1,1,5.184e-44
2,802,21,2,5,2,1,1,0,0,2.008e-10
2,822,21,2,5,2,1,1,0,1,4.914e-12
2,842,21,2,5,2,1,2,0,0,3.587e-45
2,862,21,2,5,2,1,2,0,1,1.531e-41
2,882,21,2,5,2,1,1,1,0,4.094e-15
2,902,21,2,5,2,1,1,1,1,-5.434e-15
2,922,21,2,5,2,1,2,1,0,-1.080e-46
2,942,21,2,5,2,1,2,1,1,-1.169e-41
2,962,21,3,1,2,1,1,0,0,1.216e-11
2,982,21,3,1,2,1,1,0,1,1.677e-13
2,1002,21,3,1,2,1,2,0,0,2.003e-47
2,1022,21,3,1,2,1,2,0,1,7.973e-44
