obs, invprob, loglike
1786, 0.0511534, -0.0525082
1800, 0.167173, -0.182929
1801, 0.164002, -0.179129
1802, 0.161249, -0.175841
1803, 0.158772, -1.84029
1811, 0.047253, -0.0484059
1812, 0.047253, -0.0484059
1813, 0.047253, -0.0484059
1814, 0.0473862, -0.0485458
1815, 0.0473862, -0.0485458
1816, 0.0473862, -0.0485458
1817, 0.193092, -0.214546
1818, 0.188793, -0.209232
1819, 0.185118, -0.204712
1820, 0.18181, -0.200661
1821, 0.178833, -0.197029
1822, 0.176154, -1.7364
1823, 0.0484464, -0.0496592
1824, 0.0486495, -0.0498727
1825, 0.0484699, -0.049684
1826, 0.0483616, -0.0495701
1827, 0.048264, -0.0494676
1828, 0.0481763, -0.0493754
1829, 0.0480973, -0.0492924
1830, 0.0480262, -0.0492177
1831, 0.0479622, -0.0491505
1832, 0.0479046, -0.04909
1833, 0.0478527, -0.0490356
1834, 0.0478061, -0.0489866
1835, 0.0477641, -0.0489425
1836, 0.0477263, -0.0489028
1837, 0.0476923, -0.0488671
1838, 0.0476617, -0.048835
1839, 0.0476342, -0.048806
1840, 0.0476094, -0.04878
1841, 0.153925, -0.167147
1842, 0.153925, -0.167147
1843, 0.153925, -0.167147
1844, 0.153925, -0.167147
1845, 0.153925, -0.167147
1846, 0.153925, -0.167147
1847, 0.153925, -0.167147
1848, 0.153925, -0.167147
1849, 0.153925, -0.167147
1850, 0.153925, -0.167147
1851, 0.153925, -0.167147
1852, 0.153925, -0.167147
1853, 0.153925, -0.167147
1854, 0.153925, -0.167147
1855, 0.153925, -1.87129
1856, 0.121826, -0.129911
1857, 0.153925, -0.167147
1858, 0.153925, -0.167147
1859, 0.153925, -0.167147
1860, 0.153925, -0.167147
1861, 0.153925, -0.167147
1862, 0.153925, -0.167147
1863, 0.153925, -0.167147
1864, 0.153925, -0.167147
1865, 0.153925, -0.167147
1866, 0.153925, -0.167147
1867, 0.153925, -0.167147
1896, 0.185792, -0.205539
1897, 0.18191, -0.200783
1898, 0.17857, -0.196709
1899, 0.175564, -0.193056
1900, 0.172859, -0.18978
1901, 0.170424, -0.186841
1902, 0.168233, -0.184203
1903, 0.207943, -0.233122
1904, 0.20098, -0.224369
1905, 0.24251, -0.277745
1906, 0.231637, -1.46258
1907, 0.158822, -0.172952
1908, 0.25753, -0.297773
1909, 0.245087, -1.40614
1910, 0.16137, -1.82406
1911, 0.166501, -0.182122
1912, 0.294072, -0.348242
1913, 0.281431, -1.26787
1914, 0.0817018, -0.0852331
1915, 0.112168, -2.18776
1916, 0.0961361, -0.101077
1917, 0.0814885, -0.0850008
1918, 0.298825, -0.354997
1919, 0.287669, -1.24594
1920, 0.159459, -0.173709
1921, 0.260363, -0.301596
1922, 0.0474725, -0.0486363
1923, 0.0474725, -0.0486363
1924, 0.0474725, -0.0486363
1925, 0.0474725, -0.0486363
1926, 0.0474725, -0.0486363
1927, 0.185792, -0.205539
1928, 0.18191, -0.200783
1929, 0.17857, -0.196709
1930, 0.175564, -0.193056
1931, 0.216269, -0.243689
1932, 0.208424, -0.23373
1933, 0.201466, -1.60213
1934, 0.0537588, -2.92325
1935, 0.0526862, -0.0541248
1936, 0.0510695, -0.0524198
1937, 0.0504413, -0.0517579
1938, 0.050068, -0.0513648
1945, 0.185792, -0.205539
1946, 0.18191, -0.200783
1947, 0.17857, -0.196709
1948, 0.175564, -0.193056
1964, 0.380176, -0.47832
1965, 0.525677, -0.745866
1966, 0.643915, -0.440188
1967, 0.251113, -0.289167
1968, 0.687003, -0.375417
1969, 0.212329, -0.238675
1970, 0.738075, -0.303709
1972, 0.170545, -0.186987
1973, 0.2537, -0.292627
1974, 0.380176, -0.47832
1975, 0.350822, -0.432048
1976, 0.325575, -1.12216
1991, 0.0466463, -0.0477693
1992, 0.0466463, -0.0477693
1993, 0.0466463, -0.0477693
1994, 0.0466463, -0.0477693
1995, 0.0466463, -0.0477693
1996, 0.0466463, -0.0477693
1997, 0.0466463, -0.0477693
1998, 0.0466463, -0.0477693
1999, 0.0466463, -0.0477693
2000, 0.0466463, -0.0477693
2001, 0.0466463, -0.0477693
2002, 0.0466463, -0.0477693
2003, 0.0466463, -0.0477693
2004, 0.0466463, -0.0477693
2005, 0.0466463, -0.0477693
2006, 0.0466463, -0.0477693
2007, 0.0466463, -0.0477693
2008, 0.0466463, -0.0477693
2009, 0.0466463, -0.0477693
2010, 0.0466463, -0.0477693
2011, 0.0466463, -0.0477693
2012, 0.0466463, -0.0477693
2013, 0.0466463, -0.0477693
2014, 0.0466463, -0.0477693
2015, 0.0466463, -0.0477693
2016, 0.0466463, -0.0477693
2017, 0.0466463, -0.0477693
2018, 0.235607, -1.44559
2026, 0.2537, -0.292627
2027, 0.243779, -1.41149
2072, 0.0481511, -0.0493489
2073, 0.0481511, -0.0493489
2074, 0.0481511, -3.03341
2094, 0.0465295, -0.0476468
2095, 0.0465295, -3.06767
2096, 0.0405239, -0.0413679
2097, 0.0465295, -0.0476468
2098, 0.0465295, -0.0476468
2099, 0.0465295, -0.0476468
2100, 0.0465295, -0.0476468
2101, 0.0465295, -0.0476468
2133, 0.193092, -1.64459
2134, 0.135825, -1.99639
2145, 0.0473862, -0.0485458
2146, 0.0473862, -0.0485458
2147, 0.0473862, -0.0485458
2148, 0.0473862, -0.0485458
2149, 0.0473862, -0.0485458
2150, 0.0473862, -0.0485458
2151, 0.0473862, -0.0485458
2152, 0.0473862, -0.0485458
2153, 0.0473862, -0.0485458
2154, 0.0473862, -0.0485458
2155, 0.0473862, -0.0485458
2198, 0.0507577, -0.0520911
2199, 0.0502879, -0.0515964
2200, 0.049896, -0.0511838
2201, 0.0577812, -0.0595178
2202, 0.0558256, -0.0574444
2203, 0.0540758, -0.0555928
2204, 0.0528671, -0.0543159
2205, 0.0519652, -0.053364
2206, 0.0511534, -0.0525082
2207, 0.0504228, -0.0517385
2208, 0.0499699, -0.0512616
2209, 0.0496099, -0.0508827
2361, 0.047253, -0.0484059
2362, 0.047253, -0.0484059
2363, 0.047253, -0.0484059
2364, 0.047253, -0.0484059
2365, 0.047253, -0.0484059
2366, 0.047253, -0.0484059
2367, 0.047253, -0.0484059
2368, 0.047253, -0.0484059
2369, 0.047253, -0.0484059
2370, 0.047253, -0.0484059
2415, 0.047253, -0.0484059
2416, 0.047253, -0.0484059
2417, 0.047253, -0.0484059
2418, 0.047253, -0.0484059
2419, 0.047253, -0.0484059
2420, 0.047253, -0.0484059
2421, 0.047253, -0.0484059
2422, 0.047253, -0.0484059
2423, 0.047253, -0.0484059
2424, 0.047253, -0.0484059
2425, 0.047253, -0.0484059
2551, 0.0510905, -0.0524419
2552, 0.0505926, -0.0519173
2553, 0.0595585, -0.0614058
2554, 0.0572917, -0.0589984
2555, 0.0553552, -0.0569463
2556, 0.0537457, -0.0552439
2606, 0.0477198, -0.0488959
2607, 0.0477198, -0.0488959
2608, 0.0477198, -0.0488959
2609, 0.0477198, -0.0488959
2610, 0.0477198, -0.0488959
2611, 0.0477198, -0.0488959
2612, 0.0477198, -0.0488959
2613, 0.0477198, -0.0488959
2614, 0.0477198, -0.0488959
2781, 0.0476972, -0.0488723
2782, 0.0476972, -0.0488723
2783, 0.0476972, -0.0488723
2784, 0.0476972, -0.0488723
2785, 0.0476972, -0.0488723
2786, 0.0476972, -0.0488723
2787, 0.0476972, -0.0488723
2788, 0.0476972, -0.0488723
2789, 0.0476972, -0.0488723
2790, 0.0476972, -0.0488723
2791, 0.0476972, -0.0488723
2799, 0.0476972, -0.0488723
2800, 0.0476972, -0.0488723
2801, 0.0476972, -0.0488723
2802, 0.0476972, -0.0488723
2803, 0.0476972, -0.0488723
2986, 0.177232, -0.195081
2987, 0.177232, -0.195081
2988, 0.260017, -0.301128
2989, 0.249921, -1.38661
3053, 0.0506564, -0.0519845
3054, 0.049793, -0.0510754
3055, 0.0495468, -0.0508164
3056, 0.0493253, -0.0505833
3057, 0.0491259, -0.0503736
3058, 0.0489465, -0.050185
3059, 0.0488009, -0.0500318
3060, 0.0486905, -0.0499158
3061, 0.0485912, -0.0498114
3062, 0.0485018, -0.0497175
3063, 0.0484213, -0.0496329
3064, 0.240541, -0.275148
3065, 0.233324, -0.265691
3066, 0.226847, -0.257278
3067, 0.221017, -0.249767
3068, 0.216329, -0.243766
3069, 0.212202, -0.238514
3070, 0.208488, -0.233811
3071, 0.205146, -0.229596
3072, 0.202137, -0.225819
3073, 0.19943, -0.222431
3074, 0.251346, -1.38092
3075, 0.0528502, -0.0542981
3076, 0.0515616, -0.0529384
3077, 0.0510367, -0.0523852
3078, 0.0505643, -0.0518875
3079, 0.0501972, -0.0515009
3193, 0.225541, -0.255591
3194, 0.283252, -0.333031
3195, 0.270051, -0.31478
3196, 0.258636, -1.35233
3203, 0.0507236, -0.0520552
3206, 0.0507236, -2.98136
3207, 0.050999, -0.0523454
3208, 0.0500665, -2.9944
3215, 0.0458791, -0.0469648
3216, 0.0458791, -0.0469648
3217, 0.0458791, -0.0469648
3218, 0.0458791, -0.0469648
3219, 0.0458791, -0.0469648
3220, 0.0458791, -0.0469648
3221, 0.0458791, -0.0469648
3222, 0.047266, -0.0484195
3223, 0.0470757, -3.056
3224, 0.0458742, -0.0469598
3225, 0.0467723, -0.0479015
3226, 0.046643, -0.0477658
3333, 0.0474725, -0.0486363
3334, 0.0474725, -0.0486363
3335, 0.0474725, -0.0486363
3336, 0.0474725, -0.0486363
3337, 0.0474725, -0.0486363
3338, 0.0474725, -0.0486363
3339, 0.0474725, -0.0486363
3340, 0.0474725, -0.0486363
3341, 0.0474725, -0.0486363
3342, 0.0474725, -0.0486363
3343, 0.0474725, -0.0486363
3344, 0.0474725, -0.0486363
3345, 0.0474725, -0.0486363
3346, 0.0474725, -0.0486363
3347, 0.0474725, -0.0486363
3348, 0.0474725, -0.0486363
3349, 0.0474725, -0.0486363
3350, 0.0474725, -0.0486363
3351, 0.0474725, -0.0486363
3352, 0.0474725, -0.0486363
3353, 0.0474725, -0.0486363
3354, 0.0474725, -0.0486363
3355, 0.0474725, -0.0486363
3356, 0.0474725, -0.0486363
3414, 0.179557, -0.197911
3415, 0.176757, -1.73298
3417, 0.19451, -1.63727
3418, 0.125719, -0.134353
3419, 0.186124, -1.68134
3421, 0.154964, -0.168376
3422, 0.19451, -1.63727
3423, 0.125719, -2.07371
3424, 0.124624, -0.133102
3425, 0.182667, -0.201709
3426, 0.226681, -1.48421
