momset,momnum,naics,region,gravity,davgrid,dav,orderedvio,laginv,violation,datamoment
2,1122,21,3,2,2,1,1,0,0,0
2,1142,21,3,2,2,1,1,0,1,0
2,1162,21,3,2,2,1,2,0,0,0
2,1182,21,3,2,2,1,2,0,1,0
2,1202,21,3,2,2,1,1,1,0,0
2,1222,21,3,2,2,1,1,1,1,0
2,1242,21,3,2,2,1,2,1,0,0
2,1262,21,3,2,2,1,2,1,1,0
2,1282,21,3,3,2,1,1,0,0,0
2,1302,21,3,3,2,1,1,0,1,0
2,1322,21,3,3,2,1,2,0,0,0
2,1342,21,3,3,2,1,2,0,1,0
2,1362,21,3,3,2,1,1,1,0,0
2,1382,21,3,3,2,1,1,1,1,0
2,1402,21,3,3,2,1,2,1,0,0
2,1422,21,3,3,2,1,2,1,1,0
2,1442,21,3,4,2,1,1,0,0,.00009721
2,1462,21,3,4,2,1,1,0,1,0
2,1482,21,3,4,2,1,2,0,0,0
2,1502,21,3,4,2,1,2,0,1,0
2,1522,21,3,4,2,1,1,1,0,0
2,1542,21,3,4,2,1,1,1,1,0
2,1562,21,3,4,2,1,2,1,0,0
2,1582,21,3,4,2,1,2,1,1,0
2,1602,21,3,5,2,1,1,0,0,.00015923
2,1622,21,3,5,2,1,1,0,1,.00021082
2,1642,21,3,5,2,1,2,0,0,.00091422
2,1662,21,3,5,2,1,2,0,1,.00010918
2,1682,21,3,5,2,1,1,1,0,0
2,1702,21,3,5,2,1,1,1,1,.00011712
2,1722,21,3,5,2,1,2,1,0,.00004959
2,1742,21,3,5,2,1,2,1,1,0
2,1762,21,4,1,2,1,1,0,0,.00046012
2,1782,21,4,1,2,1,1,0,1,0
2,1802,21,4,1,2,1,2,0,0,.00206895
2,1822,21,4,1,2,1,2,0,1,0
2,1842,21,4,1,2,1,1,1,0,.00010955
2,1862,21,4,1,2,1,1,1,1,0
2,1882,21,4,1,2,1,2,1,0,0
2,1902,21,4,1,2,1,2,1,1,0
2,1922,21,4,2,2,1,1,0,0,0
2,1942,21,4,2,2,1,1,0,1,0
2,1962,21,4,2,2,1,2,0,0,0
2,1982,21,4,2,2,1,2,0,1,0
2,2002,21,4,2,2,1,1,1,0,0
2,2022,21,4,2,2,1,1,1,1,0
2,2042,21,4,2,2,1,2,1,0,0
2,2062,21,4,2,2,1,2,1,1,0
2,2082,21,4,3,2,1,1,0,0,.005
2,2102,21,4,3,2,1,1,0,1,0
2,2122,21,4,3,2,1,2,0,0,0
2,2142,21,4,3,2,1,2,0,1,0
2,2162,21,4,3,2,1,1,1,0,0
2,2182,21,4,3,2,1,1,1,1,0
2,2202,21,4,3,2,1,2,1,0,0
2,2222,21,4,3,2,1,2,1,1,0
2,2242,21,4,4,2,1,1,0,0,.00046042
2,2262,21,4,4,2,1,1,0,1,.00004675
2,2282,21,4,4,2,1,2,0,0,.00016362
2,2302,21,4,4,2,1,2,0,1,0
2,2322,21,4,4,2,1,1,1,0,0
2,2342,21,4,4,2,1,1,1,1,0
2,2362,21,4,4,2,1,2,1,0,0
2,2382,21,4,4,2,1,2,1,1,0
2,2402,21,4,5,2,1,1,0,0,.00031221
2,2422,21,4,5,2,1,1,0,1,0
2,2442,21,4,5,2,1,2,0,0,0
2,2462,21,4,5,2,1,2,0,1,0
2,2482,21,4,5,2,1,1,1,0,0
2,2502,21,4,5,2,1,1,1,1,0
2,2522,21,4,5,2,1,2,1,0,0
2,2542,21,4,5,2,1,2,1,1,0
2,2562,21,5,1,2,1,1,0,0,.00020507
2,2582,21,5,1,2,1,1,0,1,.00003137
2,2602,21,5,1,2,1,2,0,0,.00013729
2,2622,21,5,1,2,1,2,0,1,.00001419
2,2642,21,5,1,2,1,1,1,0,0
2,2662,21,5,1,2,1,1,1,1,0
2,2682,21,5,1,2,1,2,1,0,0
2,2702,21,5,1,2,1,2,1,1,0
2,2722,21,5,2,2,1,1,0,0,0
2,2742,21,5,2,2,1,1,0,1,0
2,2762,21,5,2,2,1,2,0,0,0
2,2782,21,5,2,2,1,2,0,1,0
2,2802,21,5,2,2,1,1,1,0,0
2,2822,21,5,2,2,1,1,1,1,0
2,2842,21,5,2,2,1,2,1,0,0
2,2862,21,5,2,2,1,2,1,1,0
2,2882,21,5,3,2,1,1,0,0,0
2,2902,21,5,3,2,1,1,0,1,0
2,2922,21,5,3,2,1,2,0,0,0
2,2942,21,5,3,2,1,2,0,1,0
2,2962,21,5,3,2,1,1,1,0,0
2,2982,21,5,3,2,1,1,1,1,0
2,3002,21,5,3,2,1,2,1,0,0
2,3022,21,5,3,2,1,2,1,1,0
2,3042,21,5,4,2,1,1,0,0,.00015756
2,3062,21,5,4,2,1,1,0,1,0
2,3082,21,5,4,2,1,2,0,0,.00042517
2,3102,21,5,4,2,1,2,0,1,0
2,3122,21,5,4,2,1,1,1,0,0
2,3142,21,5,4,2,1,1,1,1,0
2,3162,21,5,4,2,1,2,1,0,0
2,3182,21,5,4,2,1,2,1,1,0
2,3202,21,5,5,2,1,1,0,0,0
2,3222,21,5,5,2,1,1,0,1,0
2,3242,21,5,5,2,1,2,0,0,.00020315
2,3262,21,5,5,2,1,2,0,1,0
2,3282,21,5,5,2,1,1,1,0,0
2,3302,21,5,5,2,1,1,1,1,0
2,3322,21,5,5,2,1,2,1,0,0
2,3342,21,5,5,2,1,2,1,1,0
2,3362,21,6,1,2,1,1,0,0,.00099398
2,3382,21,6,1,2,1,1,0,1,6.969e-07
2,3402,21,6,1,2,1,2,0,0,.00068237
2,3422,21,6,1,2,1,2,0,1,.00006464
2,3442,21,6,1,2,1,1,1,0,.00010192
2,3462,21,6,1,2,1,1,1,1,6.871e-06
2,3482,21,6,1,2,1,2,1,0,.00002925
2,3502,21,6,1,2,1,2,1,1,2.547e-06
2,3522,21,6,2,2,1,1,0,0,.00038286
2,3542,21,6,2,2,1,1,0,1,0
2,3562,21,6,2,2,1,2,0,0,.0002809
2,3582,21,6,2,2,1,2,0,1,0
2,3602,21,6,2,2,1,1,1,0,.00007609
2,3622,21,6,2,2,1,1,1,1,0
2,3642,21,6,2,2,1,2,1,0,.000022
2,3662,21,6,2,2,1,2,1,1,.00001466
2,3682,21,6,3,2,1,1,0,0,.0025171
2,3702,21,6,3,2,1,1,0,1,0
2,3722,21,6,3,2,1,2,0,0,.00131296
2,3742,21,6,3,2,1,2,0,1,.00008003
2,3762,21,6,3,2,1,1,1,0,.00007235
2,3782,21,6,3,2,1,1,1,1,0
2,3802,21,6,3,2,1,2,1,0,0
2,3822,21,6,3,2,1,2,1,1,0
2,3842,21,6,4,2,1,1,0,0,.00025087
2,3862,21,6,4,2,1,1,0,1,5.682e-06
2,3882,21,6,4,2,1,2,0,0,.00017785
2,3902,21,6,4,2,1,2,0,1,.00001466
2,3922,21,6,4,2,1,1,1,0,5.763e-07
2,3942,21,6,4,2,1,1,1,1,0
2,3962,21,6,4,2,1,2,1,0,1.743e-07
2,3982,21,6,4,2,1,2,1,1,0
2,4002,21,6,5,2,1,1,0,0,0
2,4022,21,6,5,2,1,1,0,1,0
2,4042,21,6,5,2,1,2,0,0,.00154613
2,4062,21,6,5,2,1,2,0,1,.00114214
2,4082,21,6,5,2,1,1,1,0,0
2,4102,21,6,5,2,1,1,1,1,0
2,4122,21,6,5,2,1,2,1,0,0
2,4142,21,6,5,2,1,2,1,1,0
2,4162,21,7,1,2,1,1,0,0,.00009983
2,4182,21,7,1,2,1,1,0,1,0
2,4202,21,7,1,2,1,2,0,0,.00001377
2,4222,21,7,1,2,1,2,0,1,0
2,4242,21,7,1,2,1,1,1,0,0
2,4262,21,7,1,2,1,1,1,1,0
2,4282,21,7,1,2,1,2,1,0,0
2,4302,21,7,1,2,1,2,1,1,0
2,4322,21,7,2,2,1,1,0,0,0
2,4342,21,7,2,2,1,1,0,1,0
