NAICS, region, gravity, DAVgrid, DAV, orderedvio, laginv, violation, value
21, 1, 5, 6, 3, 1, 0, 1, -4.2206
21, 1, 5, 7, 3.5, 1, 0, 1, -6.56102
21, 1, 5, 8, 4, 1, 0, 1, -9.63142
21, 1, 5, 9, 4.5, 1, 0, 1, -13.4971
21, 1, 5, 10, 5, 1, 0, 1, -18.1795
21, 1, 5, 11, 5.5, 1, 0, 1, -23.5564
21, 1, 5, 12, 6, 1, 0, 1, -29.3377
21, 1, 5, 13, 6.5, 1, 0, 1, -35.3125
21, 1, 5, 14, 7, 1, 0, 1, -41.281
21, 1, 5, 15, 7.5, 1, 0, 1, -47.0644
21, 1, 5, 16, 8, 1, 0, 1, -52.5147
21, 1, 5, 17, 8.5, 1, 0, 1, -57.4887
21, 1, 5, 18, 9, 1, 0, 1, -61.7551
21, 1, 5, 19, 9.5, 1, 0, 1, -64.7216
21, 1, 5, 0, 0, 2, 0, 0, -0.792714
21, 1, 5, 1, 0.5, 2, 0, 0, -0.946736
21, 1, 5, 2, 1, 2, 0, 0, -1.16198
21, 1, 5, 3, 1.5, 2, 0, 0, -1.45751
21, 1, 5, 4, 2, 2, 0, 0, -1.86626
21, 1, 5, 5, 2.5, 2, 0, 0, -2.43966
21, 1, 5, 6, 3, 2, 0, 0, -3.24428
21, 1, 5, 7, 3.5, 2, 0, 0, -4.36152
21, 1, 5, 8, 4, 2, 0, 0, -5.88612
21, 1, 5, 9, 4.5, 2, 0, 0, -7.92047
21, 1, 5, 10, 5, 2, 0, 0, -10.5627
21, 1, 5, 11, 5.5, 2, 0, 0, -13.9922
21, 1, 5, 12, 6, 2, 0, 0, -18.185
21, 1, 5, 13, 6.5, 2, 0, 0, -23.014
21, 1, 5, 14, 7, 2, 0, 0, -28.3225
21, 1, 5, 15, 7.5, 2, 0, 0, -33.9425
21, 1, 5, 16, 8, 2, 0, 0, -39.707
21, 1, 5, 17, 8.5, 2, 0, 0, -45.4596
21, 1, 5, 18, 9, 2, 0, 0, -51.0548
21, 1, 5, 19, 9.5, 2, 0, 0, -56.3465
21, 1, 5, 0, 0, 2, 0, 1, -1.21109
21, 1, 5, 1, 0.5, 2, 0, 1, -1.52734
21, 1, 5, 2, 1, 2, 0, 1, -1.96702
21, 1, 5, 3, 1.5, 2, 0, 1, -2.58792
21, 1, 5, 4, 2, 2, 0, 1, -3.46114
21, 1, 5, 5, 2.5, 2, 0, 1, -4.673
21, 1, 5, 6, 3, 2, 0, 1, -6.32145
21, 1, 5, 7, 3.5, 2, 0, 1, -8.50764
21, 1, 5, 8, 4, 2, 0, 1, -11.3248
21, 1, 5, 9, 4.5, 2, 0, 1, -14.8498
21, 1, 5, 10, 5, 2, 0, 1, -19.1377
21, 1, 5, 11, 5.5, 2, 0, 1, -24.1209
21, 1, 5, 12, 6, 2, 0, 1, -29.5378
21, 1, 5, 13, 6.5, 2, 0, 1, -35.2176
21, 1, 5, 14, 7, 2, 0, 1, -40.9952
21, 1, 5, 15, 7.5, 2, 0, 1, -46.7185
21, 1, 5, 16, 8, 2, 0, 1, -52.2442
21, 1, 5, 17, 8.5, 2, 0, 1, -57.4149
21, 1, 5, 18, 9, 2, 0, 1, -61.9825
21, 1, 5, 19, 9.5, 2, 0, 1, -65.2955
21, 1, 5, 0, 0, 1, 1, 0, 0.805755
21, 1, 5, 1, 0.5, 1, 1, 0, 0.700445
21, 1, 5, 2, 1, 1, 1, 0, 0.555887
21, 1, 5, 3, 1.5, 1, 1, 0, 0.345229
21, 1, 5, 4, 2, 1, 1, 0, 0.0250806
21, 1, 5, 5, 2.5, 1, 1, 0, -0.463789
21, 1, 5, 6, 3, 1, 1, 0, -1.20017
21, 1, 5, 7, 3.5, 1, 1, 0, -2.28384
21, 1, 5, 8, 4, 1, 1, 0, -3.82825
21, 1, 5, 9, 4.5, 1, 1, 0, -5.94504
21, 1, 5, 10, 5, 1, 1, 0, -8.7354
21, 1, 5, 11, 5.5, 1, 1, 0, -12.3872
21, 1, 5, 12, 6, 1, 1, 0, -16.834
21, 1, 5, 13, 6.5, 1, 1, 0, -21.9315
21, 1, 5, 14, 7, 1, 1, 0, -27.527
21, 1, 5, 15, 7.5, 1, 1, 0, -33.4276
21, 1, 5, 16, 8, 1, 1, 0, -39.4286
21, 1, 5, 17, 8.5, 1, 1, 0, -45.3348
21, 1, 5, 18, 9, 1, 1, 0, -50.9723
21, 1, 5, 19, 9.5, 1, 1, 0, -56.1933
21, 1, 5, 0, 0, 1, 1, 1, 0.522676
21, 1, 5, 1, 0.5, 1, 1, 1, 0.294543
21, 1, 5, 2, 1, 1, 1, 1, -0.056253
21, 1, 5, 3, 1.5, 1, 1, 1, -0.594177
21, 1, 5, 4, 2, 1, 1, 1, -1.40521
21, 1, 5, 5, 2.5, 1, 1, 1, -2.5961
21, 1, 5, 6, 3, 1, 1, 1, -4.28072
21, 1, 5, 7, 3.5, 1, 1, 1, -6.56733
21, 1, 5, 8, 4, 1, 1, 1, -9.54949
21, 1, 5, 9, 4.5, 1, 1, 1, -13.2974
21, 1, 5, 10, 5, 1, 1, 1, -17.8416
21, 1, 5, 11, 5.5, 1, 1, 1, -23.0993
21, 1, 5, 12, 6, 1, 1, 1, -28.8083
21, 1, 5, 13, 6.5, 1, 1, 1, -34.7619
21, 1, 5, 14, 7, 1, 1, 1, -40.7599
21, 1, 5, 15, 7.5, 1, 1, 1, -46.6103
21, 1, 5, 16, 8, 1, 1, 1, -52.1503
21, 1, 5, 17, 8.5, 1, 1, 1, -57.2237
21, 1, 5, 18, 9, 1, 1, 1, -61.5866
